Day,MIN,MAX,AVG
1,21.7,29.4,25.55
2,21.5,29.9,25.7
3,22.2,30.1,26.15
4,23.2,30.2,26.7
5,23.4,32.8,28.1
6,22.3,33.3,27.8
7,22.1,28.2,25.15
8,20.9,23.7,22.3
9,18.6,26.9,22.75
10,19.9,27.8,23.85
11,19.1,28.5,23.8
12,18.5,30.3,24.4
13,20.1,30.8,25.45
14,22.4,30.7,26.55
15,20.8,31.9,26.35
16,23.8,35.3,29.55
17,22.8,29.5,26.15
18,23.8,30.1,26.95
19,19.5,32.1,25.8
20,22.4,27.6,25
21,20.7,27.4,24.05
22,18.9,29.2,24.05
23,20.3,29.3,24.8
24,18.9,30.1,24.5
25,21.5,28.9,25.2
26,19.4,30.6,25
27,21.7,31.4,26.55
28,23,30.6,26.8
29,23.3,30.4,26.85
30,21.3,30.2,25.75
31,23,30.4,26.7
32,22.5,29.7,26.1
33,21.4,25.7,23.55
34,20.4,29.1,24.75
35,19.7,30,24.85
36,21,29.7,25.35
37,21,31.1,26.05
38,23,35.2,29.1
39,23.5,29.6,26.55
40,21.8,29.1,25.45
41,18.8,28.5,23.65
42,19.9,27.6,23.75
43,20.7,30.1,25.4
44,21.7,30.7,26.2
45,21.8,30.2,26
46,20.7,29.2,24.95
47,20.7,28.9,24.8
48,19.5,28.6,24.05
49,19.9,27.4,23.65
50,20.8,29,24.9
51,22.2,29.6,25.9
52,22.3,33.7,28
53,22.1,33.6,27.85
54,23.3,32.1,27.7
55,20.9,29.8,25.35
56,22.2,28.7,25.45
57,22.5,31.8,27.15
58,23.2,30.8,27
59,24.1,31.4,27.75
60,24.1,29.6,26.85
61,22.1,33.2,27.65
62,22.5,26.5,24.5
63,20.1,26.7,23.4
64,18,30.8,24.4
65,20.9,28.5,24.7
66,21.1,28.4,24.75
67,21.8,29.6,25.7
68,21.3,30.4,25.85
69,20.8,30.6,25.7
70,22.3,28.5,25.4
71,20.6,28,24.3
72,21.4,29.4,25.4
73,21.5,30.8,26.15
